模块,实体/数据模型,字段名,类型,必填,示例值,字段说明,来源页面/API
XML遗留配置（silver）,PayMethods.payEnv,gameEnv,enum(pc|android|ios|...),是,pc,支付环境（端能力维度）,silver.xml /payEnv@gameEnv
XML遗留配置（silver）,PayMethods.payEnv,web,boolean,否,true,是否Web收银台维度,silver.xml /payEnv@web
XML遗留配置（silver）,PayMethods.payTypeInfo,payType,string,是,alipay_global_pc,支付方式编码（映射到后台PaymentMethod）,silver.xml /payTypeInfo@payType
XML遗留配置（silver）,PayMethods.payTypeInfo,recommend,boolean,否,false,是否推荐位,silver.xml
XML遗留配置（silver）,PayMethods.payTypeInfo,icon,string,否,xxx,支付方式图标,silver.xml
XML遗留配置（silver）,PayMethods.payTypeInfo,name,string,否,公众号,支付方式展示名,silver.xml
XML遗留配置（silver）,PayMethods.payTypeInfo,webUrl,string,否,111,收银台跳转URL,silver.xml
XML遗留配置（silver）,PayMethods.payTypeInfo,desc,string,否,222,支付方式说明文案,silver.xml
XML遗留配置（silver）,PayMethods.payTypeAttrs,payTypeAttr.payType,string,是,alipay_global_pc,扩展属性所属payType,silver.xml /payTypeAttr@payType
XML遗留配置（silver）,PayMethods.payTypeAttrs,payTypeAttr.json,json object,否,"{""subChannel"":""CARD""}",支付方式扩展属性JSON（如subChannel）,silver.xml /payTypeAttr CDATA
XML遗留配置（silver）,Platform,platform.name,string,是,windows,平台标识（he/apple/windows/psn/web等）,silver.xml /platform@name
XML遗留配置（silver）,Platform,dcAppId,string,否,sdk_qa_prod,平台对应DC应用ID,silver.xml /platform/dcAppId
XML遗留配置（silver）,Platform,payment.channelName,string,是,wechat_pc,支付通道编码,silver.xml /payment@channelName
XML遗留配置（silver）,Platform,payment.channelAppId,string,否,wx661beff4631d3ed3,同通道多应用区分键,silver.xml /payment@channelAppId
XML遗留配置（silver）,PlatformPaymentCredential,appId,string,按渠道,2021004108696697,渠道应用ID（微信/支付宝等）,silver.xml
XML遗留配置（silver）,PlatformPaymentCredential,appSecret/stringKey,string,按渠道,22ac8ee2c0542cf1333283ff6ab35689,渠道密钥（敏感）,silver.xml
XML遗留配置（silver）,PlatformPaymentCredential,mchId/stringKey,string,按渠道,1650730611,商户号（敏感）,silver.xml
XML遗留配置（silver）,PlatformPaymentCredential,publicKey/privateKey/cert,text,按渠道,MIIB... / MIIE... / CERT...,渠道证书与密钥（高敏）,silver.xml
XML遗留配置（silver）,PlatformRouting,callbackUrl/resultUrl/notifyUrl/redirectUrl,string,按场景,https://.../callback,支付回调与结果页路由,silver.xml
XML遗留配置（silver）,PlatformRouting,addCoinUrl/string,否,http://dev2.payment.happyelements.com/success.html,加币回调地址,silver.xml（全局/平台级）
XML遗留配置（silver）,PlatformRouting,addCoinSecret,string,否,b6debd406c39fd868075ce555228a994,加币签名密钥（敏感）,silver.xml（全局/平台级）
XML遗留配置（silver）,PlatformRouting,addCoinForwards,mixed,否,1 或 空,加币转发配置（兼容历史格式）,silver.xml
XML遗留配置（silver）,PlatformSecurity,useridWhitelist,string,否,1,白名单用户配置,silver.xml
XML遗留配置（silver）,ProductMapping,products[].id,string,按渠道,sdktest02,渠道商品ID,silver.xml /payment/products/product@id
XML遗留配置（silver）,ProductMapping,products[].sku,string,按渠道,4de56902ed5841d6b3058929621aa039,平台SKU,silver.xml
XML遗留配置（silver）,ProductMapping,products[].skuType,string,按渠道,comsubables,商品类型（消耗型/订阅等）,silver.xml
XML遗留配置（silver）,ProductMapping,products[].catalogItemId/entitlementLabel,string,否,b2c0520f... / SDKTESTCONSUME01,平台商品扩展映射字段,silver.xml
XML遗留配置（silver）,WebProductMapping,webProducts[].webProduct.id,string,按平台,1,Web商品ID,silver.xml /webProducts/webProduct@id
XML遗留配置（silver）,WebProductMapping,webProducts[].webProduct.price,number/string,按平台,0.1,Web价格,silver.xml
XML遗留配置（silver）,WebProductMapping,webProducts[].webProduct.currency,string,按平台,CNY,Web币种,silver.xml
XML遗留配置（silver）,渠道差异化参数,merchantId/projectId/clientId/clientSecret/sandbox/environment,string|boolean,按渠道,308142 / sandbox,渠道私有参数（如xsolla/epic/adyen/paypal_pc）,silver.xml
